"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 00:00","2026","03","01","00:00","","-6.2","","-9.0","","81","","0.3","","","","","","","","101.09","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 01:00","2026","03","01","01:00","","-5.7","","-9.7","","74","","0.1","","","","","","","","101.08","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 02:00","2026","03","01","02:00","","-5.6","","-11.2","","64","","0.1","","","","","","","","101.11","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 03:00","2026","03","01","03:00","","-5.5","","-12.4","","58","","0.0","","","","","","","","101.17","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 04:00","2026","03","01","04:00","","-5.9","","-12.3","","61","","0.0","","","","","","","","101.21","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 05:00","2026","03","01","05:00","","-6.6","","-12.7","","62","","0.0","","","","","","","","101.29","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 06:00","2026","03","01","06:00","","-7.3","","-13.1","","63","","0.0","","","","","","","","101.33","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 07:00","2026","03","01","07:00","","-7.9","","-13.3","","65","","0.0","","","","","","","","101.41","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 08:00","2026","03","01","08:00","","-8.5","","-14.0","","64","","0.0","","","","","","","","101.52","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 09:00","2026","03","01","09:00","","-7.9","","-15.2","","56","","0.0","","","","","","","","101.61","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 10:00","2026","03","01","10:00","","-7.9","","-17.2","","47","","0.0","","","","","","","","101.69","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 11:00","2026","03","01","11:00","","-6.6","","-16.7","","44","","0.0","","","","","","","","101.76","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 12:00","2026","03","01","12:00","","-5.9","","-17.4","","40","","0.0","","","","","","","","101.80","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 13:00","2026","03","01","13:00","","-5.9","","-18.4","","37","","0.0","","","","","","","","101.82","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 14:00","2026","03","01","14:00","","-5.8","","-18.6","","36","","0.0","","","","","","","","101.81","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 15:00","2026","03","01","15:00","","-6.7","","-19.0","","37","","0.0","","","","","","","","101.86","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 16:00","2026","03","01","16:00","","-6.8","","-18.1","","40","","0.0","","","","","","","","101.87","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 17:00","2026","03","01","17:00","","-7.1","","-17.5","","43","","0.0","","","","","","","","101.92","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 18:00","2026","03","01","18:00","","-7.7","","-16.7","","48","","0.0","","","","","","","","101.96","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 19:00","2026","03","01","19:00","","-8.7","","-17.6","","49","","0.0","","","","","","","","102.03","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 20:00","2026","03","01","20:00","","-9.3","","-17.6","","51","","0.0","","","","","","","","102.07","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 21:00","2026","03","01","21:00","","-10.3","","-17.4","","56","","0.0","","","","","","","","102.15","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 22:00","2026","03","01","22:00","","-10.9","","-17.3","","59","","0.0","","","","","","","","102.17","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-01 23:00","2026","03","01","23:00","","-11.2","","-16.9","","63","","0.0","","","","","","","","102.18","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 00:00","2026","03","02","00:00","","-11.0","","-16.7","","63","","0.0","","","","","","","","102.19","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 01:00","2026","03","02","01:00","","-11.1","","-16.6","","64","","0.0","","","","","","","","102.22","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 02:00","2026","03","02","02:00","","-11.2","","-16.5","","65","","0.0","","","","","","","","102.26","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 03:00","2026","03","02","03:00","","-11.2","","-17.8","","58","","0.0","","","","","","","","102.24","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 04:00","2026","03","02","04:00","","-11.3","","-18.1","","57","","0.0","","","","","","","","102.20","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 05:00","2026","03","02","05:00","","-10.8","","-18.3","","54","","0.0","","","","","","","","102.19","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 06:00","2026","03","02","06:00","","-11.0","","-18.5","","54","","0.0","","","","","","","","102.30","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 07:00","2026","03","02","07:00","","-11.3","","-17.9","","58","","0.0","","","","","","","","102.33","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 08:00","2026","03","02","08:00","","-10.6","","-18.0","","54","","0.0","","","","","","","","102.39","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 09:00","2026","03","02","09:00","","-8.5","","-16.7","","52","","0.0","","","","","","","","102.48","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 10:00","2026","03","02","10:00","","-5.9","","-16.3","","44","","0.0","","","","","","","","102.44","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 11:00","2026","03","02","11:00","","-5.7","","-15.4","","46","","0.0","","","","","","","","102.39","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 12:00","2026","03","02","12:00","","-4.3","","-16.2","","39","","0.0","","","","","","","","102.31","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 13:00","2026","03","02","13:00","","-4.8","","-14.5","","46","","0.0","","","","","","","","102.24","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 14:00","2026","03","02","14:00","","-4.0","","-15.5","","41","","0.0","","","","","","","","102.14","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 15:00","2026","03","02","15:00","","-4.7","","-15.0","","44","","0.0","","","","","","","","102.08","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 16:00","2026","03","02","16:00","","-5.1","","-15.4","","44","","0.0","","","","","","","","102.05","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 17:00","2026","03","02","17:00","","-4.8","","-18.1","","35","","0.0","","","","","","","","101.96","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 18:00","2026","03","02","18:00","","-4.9","","-16.0","","41","","0.0","","","","","","","","101.92","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 19:00","2026","03","02","19:00","","-4.7","","-14.0","","48","","0.0","","","","","","","","101.91","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-03-02 20:00","2026","03","02","20:00","","-4.4","","-11.8","","56","","0.0","","","","","","","","101.86","","","","","","NA"
