station_id,station_name,evening_departures,evening_arrivals,evening_net_flow
7019,"Temperance St Station",1697,158,-1539
7015,"King St W / Bay St (West Side)",1575,168,-1407
7047,"University Ave / Gerrard St W (East Side)",1111,207,-904
7052,"Wellington St W / Bay St",990,216,-774
7913,"St. George St / Willcocks St",842,252,-590
7053,"Metro Hall Plaza",695,116,-579
7600,"Ursula Franklin St / Huron St - SMART",711,146,-565
7282,"Adelaide St W / Bay St",702,174,-528
7933,"Elizabeth St / Elm St",853,359,-494
7045,"Bond St / Queen St E",654,197,-457
7118,"King St W / Bay St (East Side)",592,136,-456
7502,"University Ave / College St (East)",709,274,-435
7358,"Galbraith Rd / King's College Rd",795,370,-425
7917,"King St W / University Ave",511,104,-407
7899,"Queens Park Cres / College St",589,186,-403
