station_id,station_name,morning_arrivals,morning_departures,morning_net_flow
7015,"King St W / Bay St (West Side)",4218,47,4171
7019,"Temperance St Station",3213,55,3158
7047,"University Ave / Gerrard St W (East Side)",1805,210,1595
7283,"Front St W / Bay St (South Side)",1749,289,1460
7282,"Adelaide St W / Bay St",705,31,674
7052,"Wellington St W / Bay St",708,46,662
7053,"Metro Hall Plaza",679,63,616
7502,"University Ave / College St (East)",723,170,553
7933,"Elizabeth St / Elm St",872,336,536
7118,"King St W / Bay St (East Side)",576,55,521
7647,"Elm St/ University Ave (East Side)",607,92,515
7045,"Bond St / Queen St E",778,268,510
7917,"King St W / University Ave",563,56,507
7358,"Galbraith Rd / King's College Rd",527,32,495
7600,"Ursula Franklin St / Huron St - SMART",549,54,495
